Sex,Length,Width,Height,Weight,Non_Shell Weight,Intestine Weight,Shell Weight
F,0.6296615300421063,0.1255490735749059,0.2475108515884723,3.535447792374429,0.0277115942718304,0.2959610303502176,0.2580621734678213
I,0.2567352438997215,0.6573175969755277,0.1402879429080715,0.3203788818148014,0.5662258176945372,0.2222001126255151,0.09973850202075518
M,1.1543021028265152,0.3149006149625475,0.2653528886570542,3.303230770775498,1.2253447129598931,0.1831904314547055,1.2063473346696083
I,0.5056202936664632,0.5047648172431586,0.0881493983173782,0.6812702578207953,0.4125978134895627,0.05172292053754551,0.1277031187231319
I,0.6142896510588102,0.2075770183875893,0.099499932437064,0.4883452931533054,0.6417698294106049,0.1067853794808648,0.0108021773138895
F,0.5847200663088701,0.8398527247188478,0.1400537880015608,2.37393635057962,1.27794793355865,0.2978726564617468,0.7376100277356132
I,0.6305570906211513,0.2271642861177863,0.1593708174685592,0.9221696374406705,0.3403489127084375,0.2337312970522873,0.0799216363956885
M,1.165160800069937,1.2383563552354633,0.3102077409127721,1.93402348526261,0.0669723056225839,0.5906391982621814,0.3170474008698987
F,0.6033022575890272,0.4599520774594554,0.086522705448483,0.9309717042995822,0.3148536824422567,0.5322313450639307,0.410907983059483
I,0.507331615403009,0.5787777934181291,0.0809889141754702,0.4827752213825476,0.5884505309228116,0.1142717125079559,0.20544597723111183
I,0.2567590623604779,0.6626421492381008,0.1440455449906039,0.2062024434396832,0.5699496999527193,0.23520631212273152,0.1292167116975567
M,1.1733403164903298,0.307989771147461,0.264339111222432,3.239804374789861,1.224814434237569,0.2008489788672929,1.2077366184590987
I,0.6312221489825772,0.1985932894249114,0.10330210685456928,0.444454954661568,0.6393747649826225,0.1077501799561669,0.020512248281730896
I,0.2628428198422987,0.6519617597469778,0.140638124098186,0.2778968690608169,0.5997672324594812,0.2216242822529928,0.1161440849529827
I,0.4666399113588589,0.5247403130758699,0.1236596820154535,0.9685594602264138,0.611282941579962,0.0601577931684004,0.2981107350283459
I,0.8356569395581811,0.7276946035506522,0.0690622743245335,1.2190844606181808,0.1967631643368964,0.1389022855178471,0.2562747854412173
M,0.5877419063229531,0.0682661816505434,0.41219809024016896,4.12066299874417,1.0472762195934475,0.5504091506282207,1.063810331078913
I,0.3614677804847546,0.5845447514765495,0.0853862553716734,0.8919720914300024,0.5310351103505482,0.1219634786288585,0.1123493492427349
I,0.6087062343444947,0.2715038161964796,0.1321963791599092,0.2002509821919494,0.5598054970742421,0.0011743729091081,0.389846352365528
I,0.4567948988351308,0.4982193653089699,0.0886878842755001,0.6858335961143838,0.3967988325891766,0.0339251933030098,0.1189000124877644
I,0.2193280349331239,0.6412903176588858,0.0820666560340133,0.3361424035597481,0.0541231282197653,0.1777352979405252,0.3164040819653486
I,0.6022155073663007,0.1898901348497207,0.0660386567738019,0.0941801321833506,0.523261624186633,0.1910308126189714,0.1693734062042254
M,0.2290007560534744,0.4688032950886583,0.3393409066817615,4.75642580074557,0.7332630605487194,0.3779388233148958,0.9576146149981294
I,0.43,0.34,0.105,0.4405,0.2385,0.0745,0.1075
I,0.4824963706097633,0.5014819549678946,0.0950820646680513,0.6988174149999952,0.4006422266233906,0.0445636440430771,0.11725569089881381
M,0.2111985730026352,0.5019605563429761,0.3409208552768267,4.735444794901368,0.7602008803468228,0.3908689223265853,0.9797962081106596
M,0.0090673597192286,0.5338699896203596,0.2852545967697985,1.7422870166550832,1.3565402676065137,0.5042781106826775,0.955999629610114
I,0.2169509285632231,0.6664536450675018,0.07726272877033391,0.3664943946199303,0.0496228022245908,0.1688240496510828,0.3099718411189839
I,0.515,0.39,0.11,0.531,0.2415,0.098,0.1615
I,0.5032759087939894,0.4581298434804627,0.1233405148957664,0.5397766181389911,0.087567099871023,0.2313919952660355,0.037778105290211
M,0.0225760491264197,0.447725073041448,0.0150196073155288,1.7753436621588856,0.8426196538173194,0.307597910706943,0.3673220302771384
I,0.6023280113798875,0.41859257249181425,0.1106554121595587,0.2893270457507642,0.5927764673119069,0.0211595286514211,0.38588079801850833
